age,study_hours_per_day,social_media_hours,netflix_hours,part_time_job,attendance_percentage,sleep_hours,diet_quality,exercise_frequency,parental_education_level,internet_quality,mental_health_rating,extracurricular_participation,exam_score,gender_Female,gender_Male,gender_Other,learning_disabilities,peer_influence,tutoring_sessions,exam_anxiety_score,motivation_score
23,0.0,1.2,1.1,0.0,0.85,8.0,1.0,6.0,2,1.0,8.0,1.0,56.2,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,6.9,2.8,2.3,0.0,0.973,4.6,2.0,6.0,0,1.0,8.0,0.0,100.0,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,1.4,3.1,1.3,0.0,0.948,8.0,0.0,1.0,0,0.0,1.0,0.0,34.3,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,1.0,3.9,1.0,0.0,0.71,9.2,0.0,4.0,2,2.0,1.0,1.0,26.8,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
19,5.0,4.4,0.5,0.0,0.909,4.9,1.0,3.0,2,2.0,1.0,0.0,66.4,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,7.2,1.3,0.0,0.0,0.8290000000000001,7.4,1.0,1.0,2,1.0,4.0,0.0,100.0,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,5.6,1.5,1.4,1.0,0.858,6.5,2.0,2.0,2,0.0,4.0,0.0,89.8,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,4.3,1.0,2.0,1.0,0.777,4.6,1.0,0.0,1,1.0,8.0,0.0,72.6,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,4.4,2.2,1.7,0.0,1.0,7.1,2.0,3.0,1,2.0,1.0,0.0,78.9,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,4.8,3.1,1.3,0.0,0.9540000000000001,7.5,2.0,5.0,1,2.0,10.0,1.0,100.0,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
19,4.6,3.7,0.8,0.0,0.7759999999999999,5.8,1.0,1.0,0,2.0,3.0,0.0,63.3,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
23,3.9,2.4,2.5,0.0,0.7170000000000001,7.9,1.0,2.0,1,1.0,1.0,0.0,74.4,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
19,3.7,2.1,0.4,1.0,0.8109999999999999,4.5,1.0,1.0,1,2.0,9.0,0.0,76.9,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
19,3.4,2.7,2.7,0.0,0.893,4.7,1.0,4.0,1,2.0,10.0,0.0,75.8,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,2.4,1.5,0.7,0.0,0.8740000000000001,6.7,0.0,6.0,1,1.0,9.0,0.0,78.9,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,3.1,5.0,1.0,0.0,0.975,6.5,2.0,6.0,0,1.0,7.0,0.0,74.0,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,1.0,0.6,0.2,0.0,0.929,5.6,0.0,3.0,0,0.0,8.0,1.0,55.2,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,3.4,2.7,1.2,0.0,0.9470000000000001,7.5,0.0,0.0,0,1.0,1.0,1.0,70.8,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,2.0,4.9,2.9,1.0,0.883,7.1,2.0,2.0,0,2.0,5.0,0.0,43.9,0.0,0.0,1.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
19,1.8,2.5,2.4,0.0,0.711,7.5,1.0,1.0,0,1.0,2.0,0.0,45.3,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,3.8,2.3,2.9,0.0,0.83,6.4,2.0,3.0,2,2.0,1.0,0.0,58.5,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,5.6,2.1,2.4,0.0,0.956,7.2,1.0,1.0,0,2.0,3.0,0.0,82.5,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,4.9,2.3,0.6,0.0,0.845,6.0,1.0,3.0,0,1.0,7.0,0.0,98.7,0.0,0.0,1.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,1.1,4.1,1.4,1.0,0.9,9.0,1.0,6.0,1,2.0,1.0,0.0,43.7,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,2.0,0.0,0.9,1.0,0.818,5.5,1.0,4.0,1,1.0,2.0,0.0,54.9,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,4.9,4.3,3.3,0.0,0.747,9.0,1.0,1.0,0,1.0,2.0,1.0,69.9,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,2.0,0.8,0.5,0.0,0.838,6.5,2.0,4.0,1,0.0,4.0,0.0,73.5,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,3.2,2.2,2.8,1.0,0.8809999999999999,4.8,1.0,5.0,1,1.0,3.0,0.0,71.1,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
24,4.3,2.0,2.8,1.0,0.784,8.1,2.0,5.0,0,0.0,3.0,1.0,82.8,0.0,1.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,2.0,3.2,3.8,1.0,0.826,6.7,0.0,6.0,0,0.0,10.0,1.0,75.7,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
21,3.7,0.6,1.3,0.0,0.7559999999999999,7.5,1.0,2.0,2,1.0,5.0,0.0,70.6,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
17,1.5,3.1,2.6,1.0,0.9620000000000001,8.0,1.0,4.0,1,1.0,3.0,1.0,51.3,0.0,0.0,1.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
20,2.6,4.9,4.3,0.0,0.821,6.9,2.0,3.0,1,2.0,7.0,0.0,52.1,0.0,0.0,1.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
18,4.0,0.9,1.1,0.0,0.995,5.8,0.0,2.0,0,1.0,5.0,0.0,70.7,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
22,1.1,2.7,0.1,0.0,1.0,7.7,1.0,1.0,0,2.0,4.0,0.0,51.2,1.0,0.0,0.0,0.0,0.5,0.125,0.3098630992604386,0.6910093944051022
